compound_name,MARS_C03_000m_1,MARS_C03_000m_2,MARS_C03_000m_3,MARS_C10_000m_1,MARS_C10_000m_2,MARS_C10_000m_3,MARS_C12_000m_1,MARS_C12_000m_2,MARS_C12_000m_3,MARS_C15_000m_1,MARS_C15_000m_2,MARS_C15_000m_3,MARS_C18_000m_1,MARS_C18_000m_2,MARS_C18_000m_3,MARS_C21_000m_1,MARS_C21_000m_2,MARS_C21_000m_3,MARS_C25_000m_1,MARS_C25_000m_2,MARS_C25_000m_3,MARS_C29_000m_1,MARS_C29_000m_2,MARS_C29_000m_3,MARS_C34_000m_1,MARS_C34_000m_2,MARS_C34_000m_3,MARS_C38_000m_1,MARS_C38_000m_2,MARS_C38_000m_3
PQ9,17797762.01,20647967.43,12859230.86,142014185.5,173012244.9,137563303,0,5905614.61,3908435.986,65290380.73,51336528.18,38359679.52,22812999.82,7083954.606,12875299.12,54596663.15,59644744.4,51243616.9,19616366.28,21632190.86,12747171.73,4882702.389,7220206.697,3869427.164,1676917.83,2484741.77,3405424.246,9160176.397,9535045.563,3082779.425
19prime_but_fuco,31741842.2,27993284.01,27791067.76,40866031.05,36182342.2,38001322.31,6073807.98,5276334.46,5714135.67,13373673.82,12592389.08,11792327.57,4319827.75,9884539.14,5217092.01,21545322.7,21161151.79,18644551.69,7370772.4,7208888.78,6653372.07,2091389.34,2563239.47,2413686.16,1796049.39,1829085.98,1901073.44,5271494.63,6172486.46,6293577.11
19prime_hex_fuco,130344851.7,119823290.8,110475949.6,156460065.7,132387065.7,145028208.9,32990580.9,29354246.25,33838716.95,67723548.93,61430255.83,54901778.47,26662777.83,76714434.6,29340844.65,150286158.1,155077115.5,134423095.5,16028175.07,13977008.28,16351321.32,3577896.08,4490560.38,4331785.65,3188300.39,3082781.63,3831815.11,19255154.46,21481807.41,24447415.05
Astaxanthin,22523767.97,20127918.7,19406307.17,50449694.32,45329893.73,47075107.6,10193986.37,9590789.73,10150907.69,42104145.59,39841120.2,36732356.41,13697207.67,20389719.67,12691260.2,17159210.68,20311341.71,17421662.66,26775913.07,20560738.04,25381551.29,9465439.93,11680630.97,10989769.33,6414709.61,7461765.07,9011300.12,7612395.58,7752077.61,8340662.18
BLL 26:6,500979.94,361156.01,314288.63,1879418.33,2090407.42,2040493.18,245709.43,319492.7,368592.72,1223082.72,1350459.81,966084.31,414658.47,353687.35,417302.52,973095.94,814041.62,521087.16,0,0,586474.03,0,45183.84,65912.45,0,9424.77,7697.06,36729.31,30037.01,0
BLL 30:3 +3O,885569.58,772917.99,855361.55,4243632.49,4107937.57,3878398.88,374475.33,398318.98,314798.36,2778526.28,3214257.87,3027283.63,641258.11,826837.88,336715.1,1636546.69,1746378.9,1651325.31,1006352.06,1001344.91,878415.81,243873.1,271686.52,285430.59,187811.93,205388.52,205245.46,796249.59,709470.52,779454.88
BLL 30:5 +3O,1708187.56,1699417.88,1873407.37,1156558,1308023.27,956591.44,612801.02,545859.1,645631.02,619589.83,441735.09,610783.33,1310.86,1096342.15,187400.38,1964882.92,2295012.48,1480490.3,16112.7,0,0,4452.47,990.28,13095.61,0,0,0,161193.49,85026.48,111935.17
Chl_a,399047680.1,322981056.2,358076616,14948734456,15921691925,15647027053,3232297856,2454844475,3488251705,608180769.5,129190076.7,165536691,7801113391,6414555331,7854646009,8361534387,9829846272,7532148919,4541924306,4642809008,4404931103,584647761.8,752845619,757804015,500744634,522046888.4,611644176.8,2678884728,2564829382,3179587412
Chl_b,91885995.35,90574762.48,80933697.7,324910887.7,300769052.6,293280644.4,78554619.77,66472162.98,74496806.74,159536468.9,146198958.2,144973630.7,69525599.64,122499730.7,68555712.02,238712247.7,175975179.9,214622948.7,71046526.12,66214923.36,68414729,12613444.39,20313708.64,13344844.38,9051442.64,9029868.62,11423254.76,27623487.95,37079965.47,36827106.87
Cholesterol2H,5056124.84,5140748.05,4455987.23,9661010.94,8908999.78,10350390.8,1904132.56,1477595.09,1927308.25,2771544.33,2872693.51,1891472.96,1360359.19,5173080.28,1002180.26,8254475.39,8978548.41,6870908.44,805629.42,1105941.13,1337576.12,190608.83,294215.95,204348.6,165927.04,237405.16,317293.83,933847.32,1022340.24,1181404.28
CholesterolEsters 10:0,16514285.43,14033292.06,14450837.32,51108114.11,45250976.54,39932135.35,4553795.55,3898100.88,5117608.02,8390091.61,8130677.87,7328684.46,7036678.21,10540217.84,7764089.29,4207776.81,3194875.98,2623542.59,4499126.12,3850288.47,4258001.48,828596.73,989043.34,741892.69,683845.29,715700.69,848510.08,2002202.76,2003216.17,2492996.47
CholesterolEsters 10:0 +2O,25723514.23,22522866.2,23979501.81,148684143,140526957.9,126657268,25389087.03,21382479.19,22730385.63,135110077.7,137172302.8,129431200.6,40910879.44,65012260.99,34973732.33,73936135.29,73163529.59,67398350.6,20476305.63,19159229.54,21305690.37,5765820.08,7006441.39,6075550.62,2952732.06,3393898,4120075.61,9371292.49,8090599.58,9460790.37
"CholesterolEsters 10:0 +3O,DAG 34:4",18039023.38,16221597.54,16335526.89,152478794.7,137372280,137102504.4,10127161.42,8817543.74,9599084.38,27397417.19,25692597.62,23138867.87,21543216.03,27739097.67,20084433.77,29389035.93,29413290.71,25542210.92,53547074.23,52516976.6,59054756.54,6556220.22,7854579.84,6185311.02,9116355.78,11158607.33,12930289.72,10118040.15,11207561.18,11744697.29
CholesterolEsters 10:1 +1O,7637733.12,6462202.01,12271084.25,45559467.09,31536927.72,36690472.76,6212392.82,3385282.43,5493979.25,31487266.09,30411491.92,32454417.82,2600823.15,14814411.36,9072637.26,17236249.32,20598585.59,16592716.45,4724873.5,4827050.7,4186431.55,1475436.51,1336953.37,1290571.03,638530.49,789293.03,129299.02,2095203.69,2098550.92,1996008.59
"CholesterolEsters 10:4 +4O,DAG 34:8 +1O",27276050.53,25341454.81,24129937.29,29496713.93,28828240.39,27973598.18,1073.06,15429604.95,5453.9,0,137176.18,10110.67,12432811.92,0,7415555.45,32550150.13,36721211.09,29457561.24,5264907.42,5059052.56,4848477.58,2891582.56,3427627.31,3236794.57,3281398.11,3470535.58,3443192.18,9540480.59,10661692.83,10671571.06
CholesterolEsters 12:0 +2O,35207568.33,31027976.04,29367096.32,157375164,134588377.8,135989470.3,16242082.9,15017020.09,17669028.58,76648408.81,72756151.85,62416399.3,30908028.33,40935103.55,29917379.19,38426808.62,41286054.8,32590192.1,18396560.86,18751641.48,18271910.43,5568054.49,7820167.29,6896754.44,3318420.63,3408022.5,3842145.91,10533196.75,10120300.23,11229530.44
CholesterolEsters 12:1 +1O,6401455.95,6368168.55,5277972.41,41693911.38,33982718.94,33906012.93,4243361.34,3574941.62,3919724.59,16714479.03,16837869.89,14055250.9,8316438.31,9190913.34,7781521.68,9641293.04,11395642.87,8479665.59,4026619.42,2698259.7,3495800.1,1086003.94,1584826.89,1293789.56,635557.8,595284.26,799526.69,3084793.96,3015375.23,2928005.81
"CholesterolEsters 12:1 +3O,DAG 36:5",1920749.07,348418.16,933076.13,14120144.49,7359675.48,13019947.91,1172578.94,1541050.99,521716.91,5686350.34,4356959.5,4389000.85,2808772.77,3712814.53,2543945.5,8131746.48,6233454.43,4559963.21,373577.04,351540.84,661647.28,0,0,0,0,0,0,841388.61,304644.78,1498262.48
CholesterolEsters 14:1 +2O,970814.14,1354322.86,299713.48,6336417.53,4247552.08,4883440.32,348740.13,306085.44,227027.95,1525809.25,3286986.57,2211041.21,870346.72,657862.66,724114.73,1246450.91,1195686.18,1773172.45,1046650.25,1264644.71,836825.24,514531.89,514322.76,463556.61,216285.17,185863.18,158435.66,789677.31,722475.59,901411.79
